paper3_enzyme_family,paper3_enzyme_variant,paper3_pair_id,paper2_pair_id,paper3_xer_observation_id,paper2_xer_observation_id,xer_comparison_class,paper3_xer_relation,paper3_xer_value,paper2_xer_relation,paper2_xer_value,paper3_tan_observation_id,paper2_tan_observation_id,tan_comparison_class,paper3_tan_relation,paper3_tan_value,paper2_tan_relation,paper2_tan_value
IMP,IMP-1,10.1128/aac.00297-25|Table 3|IMP|IMP-1,10.1128/aac.01570-23|Table 3|IMP|IMP-1,EVO-OBS-P3-008,EVO-OBS-P2-003,exact_relation_and_value_match,=,2.7,=,2.7,EVO-OBS-P3-009,EVO-OBS-P2-043,same_censor_direction_threshold_changed,>,250,>,100
IMP,IMP-10,10.1128/aac.00297-25|Table 3|IMP|IMP-10,10.1128/aac.01570-23|Table 3|IMP|IMP-10,EVO-OBS-P3-011,EVO-OBS-P2-004,exact_relation_and_value_match,=,73,=,73,EVO-OBS-P3-012,EVO-OBS-P2-050,same_censor_direction_threshold_changed,>,250,>,100
IMP,IMP-19,10.1128/aac.00297-25|Table 3|IMP|IMP-19,10.1128/aac.01570-23|Table 3|IMP|IMP-19,EVO-OBS-P3-013,EVO-OBS-P2-059,exact_relation_and_value_match,=,7.5,=,7.5,EVO-OBS-P3-014,EVO-OBS-P2-060,same_censor_direction_threshold_changed,>,250,>,100
IMP,IMP-4,10.1128/aac.00297-25|Table 3|IMP|IMP-4,10.1128/aac.01570-23|Table 3|IMP|IMP-4,EVO-OBS-P3-026,EVO-OBS-P2-044,exact_relation_and_value_match,=,14.7,=,14.7,EVO-OBS-P3-027,EVO-OBS-P2-045,same_censor_direction_threshold_changed,>,250,>,100
NDM,NDM-1,10.1128/aac.00297-25|Table 3|NDM|NDM-1,10.1128/aac.01570-23|Table 3|NDM|NDM-1,EVO-OBS-P3-004,EVO-OBS-P2-007,exact_relation_and_value_match,=,4.3,=,4.3,EVO-OBS-P3-005,EVO-OBS-P2-008,exact_relation_and_value_match,=,3.0,=,3.0
