enzyme_family,enzyme_variant,reference_variant,author_reported_mutation,numbering_scheme,crude_xer_observation_id,crude_xer_relation,crude_xer_value,crude_xer_unit,crude_tan_observation_id,crude_tan_relation,crude_tan_value,crude_tan_unit,crude_ratio_class,crude_ratio_exact,crude_ratio_lower_bound,crude_ratio_upper_bound,crude_direction_class,ki_xer_observation_id,ki_xer_relation,ki_xer_value,ki_xer_unit,ki_tan_observation_id,ki_tan_relation,ki_tan_value,ki_tan_unit,ki_ratio_class,ki_ratio_exact,ki_ratio_lower_bound,ki_ratio_upper_bound,ki_direction_class,direction_concordance,quantitative_cross_endpoint_comparison,interpretation_guardrail
NDM,NDM-1,,,,EVO-OBS-P2-007,=,4.3,uM,EVO-OBS-P2-008,=,3.0,uM,exact,0.697674,,,tan_lt_xer_supported,EVO-OBS-P2-073,=,0.08,uM,EVO-OBS-P2-074,=,0.016,uM,exact,0.200000,,,tan_lt_xer_supported,direction_concordant,not_performed,IC50 and Ki are distinct endpoints; only within-endpoint TAN/XER direction is compared.
VIM,VIM-2,,,,EVO-OBS-P2-037,=,0.1,uM,EVO-OBS-P2-038,=,0.5,uM,exact,5.000000,,,tan_gt_xer_supported,EVO-OBS-P2-075,=,0.002,uM,EVO-OBS-P2-076,=,0.01,uM,exact,5.000000,,,tan_gt_xer_supported,direction_concordant,not_performed,IC50 and Ki are distinct endpoints; only within-endpoint TAN/XER direction is compared.
IMP,IMP-1,,,,EVO-OBS-P2-003,=,2.7,uM,EVO-OBS-P2-043,>,100,uM,lower_bound,,37.037037,,tan_gt_xer_supported,EVO-OBS-P2-005,=,0.3,uM,EVO-OBS-P2-077,>,20,uM,lower_bound,,66.666667,,tan_gt_xer_supported,direction_concordant,not_performed,IC50 and Ki are distinct endpoints; only within-endpoint TAN/XER direction is compared.
IMP,IMP-10,IMP-1,Val67Phe,BBL,EVO-OBS-P2-004,=,73,uM,EVO-OBS-P2-050,>,100,uM,lower_bound,,1.369863,,tan_gt_xer_supported,EVO-OBS-P2-006,=,11.3,uM,EVO-OBS-P2-078,>,20,uM,lower_bound,,1.769912,,tan_gt_xer_supported,direction_concordant,not_performed,IC50 and Ki are distinct endpoints; only within-endpoint TAN/XER direction is compared.
