source_id,source_type,identifier_scheme,identifier_value
EVO-SRC-1AA6599CEC290236,literature,doi,10.1128/aac.00426-26
EVO-SRC-1ED143DCEF91EF9C,literature,doi,10.1128/aac.00579-23
EVO-SRC-1F1F4BFCE7FB91BC,literature,doi,10.1128/aac.01570-23
EVO-SRC-2FC255DC846D4B6F,literature,doi,10.1016/j.jinorgbio.2026.113335
EVO-SRC-3C6ED4B1C20AC7DA,literature,doi,10.1128/aac.00991-23
EVO-SRC-4A0FF0F1E6942324,literature,doi,10.1128/aac.01699-24
EVO-SRC-68FC875981F77C80,literature,doi,10.1128/spectrum.02788-25
EVO-SRC-A4914971E736EA36,literature,doi,10.1128/aac.00297-25
